Date,Open,High,Low,Close,Adj Close,Volume,Returns
2020-01-01,849.5843994140625,849.5843994140625,849.5843994140625,849.5843994140625,849.5843994140625,1000000,
2020-01-02,851.3252807617188,851.3252807617188,851.3252807617188,851.3252807617188,851.3252807617188,1000000,0.002049097592725202
2020-01-03,858.6473022460938,858.6473022460938,858.6473022460938,858.6473022460938,858.6473022460938,1000000,0.008600733056844723
2020-01-06,849.1342346191407,849.1342346191407,849.1342346191407,849.1342346191407,849.1342346191407,1000000,-0.01107913295956131
2020-01-07,851.5562377929688,851.5562377929688,851.5562377929688,851.5562377929688,851.5562377929688,1000000,0.0028523207227824088
2020-01-08,857.5793334960938,857.5793334960938,857.5793334960938,857.5793334960938,857.5793334960938,1000000,0.007073045132915068
2020-01-09,860.5579467773438,860.5579467773438,860.5579467773438,860.5579467773438,860.5579467773438,1000000,0.003473280156025993
2020-01-10,862.0565673828125,862.0565673828125,862.0565673828125,862.0565673828125,862.0565673828125,1000000,0.0017414522881125105
2020-01-13,863.7067138671875,863.7067138671875,863.7067138671875,863.7067138671875,863.7067138671875,1000000,0.0019141974515486382
2020-01-14,865.730517578125,865.730517578125,865.730517578125,865.730517578125,865.730517578125,1000000,0.002343160795724275
2020-01-15,866.3953247070312,866.3953247070312,866.3953247070312,866.3953247070312,866.3953247070312,1000000,0.0007679146286374561
2020-01-16,870.192333984375,870.192333984375,870.192333984375,870.192333984375,870.192333984375,1000000,0.004382536665497039
2020-01-17,868.9554077148438,868.9554077148438,868.9554077148438,868.9554077148438,868.9554077148438,1000000,-0.0014214400899943413
2020-01-20,854.81728515625,854.81728515625,854.81728515625,854.81728515625,854.81728515625,1000000,-0.01627025096232937
2020-01-21,852.3552368164062,852.3552368164062,852.3552368164062,852.3552368164062,852.3552368164062,1000000,-0.0028802042057370913
2020-01-22,857.7793151855469,857.7793151855469,857.7793151855469,857.7793151855469,857.7793151855469,1000000,0.006363635881912355
2020-01-23,859.0271728515625,859.0271728515625,859.0271728515625,859.0271728515625,859.0271728515625,1000000,0.0014547537390146026
