Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,514.7979125976562,536.75,542.5,535.7000122070312,539.9000244140625,7642793
2020-01-02,518.4904174804688,540.5999755859375,541.9000244140625,535.8499755859375,536.0,10264223
2020-01-03,516.81201171875,538.8499755859375,540.7999877929688,536.25,538.0,9594690
2020-01-06,504.19989013671875,525.7000122070312,537.25,523.7999877929688,537.25,12534334
2020-01-07,501.5143737792969,522.9000244140625,535.5999755859375,521.6500244140625,531.2999877929688,16101835
2020-01-08,504.439697265625,525.9500122070312,527.3499755859375,515.0,516.0,16094310
2020-01-09,523.9573974609375,546.2999877929688,547.4000244140625,530.2999877929688,530.7000122070312,18934019
2020-01-10,518.15478515625,540.25,546.5,538.5,544.9000244140625,12335407
2020-01-13,516.572265625,538.5999755859375,546.0499877929688,538.0,539.4000244140625,7901800
2020-01-14,515.6130981445312,537.5999755859375,538.9500122070312,534.1500244140625,536.2000122070312,13939440
2020-01-15,513.6948852539062,535.5999755859375,536.9500122070312,530.6500244140625,535.0999755859375,12353176
2020-01-16,515.1815795898438,537.1500244140625,540.0,533.2000122070312,533.9000244140625,11249232
2020-01-17,510.2901611328125,532.0499877929688,538.0,530.5999755859375,534.5,18312609
2020-01-20,512.9756469726562,534.8499755859375,544.0,531.0,533.0,19159996
2020-01-21,509.3310241699219,531.0499877929688,540.25,530.2000122070312,532.9500122070312,13477994
2020-01-22,501.46636962890625,522.8499755859375,534.9500122070312,520.75,531.5,17527408
2020-01-23,506.1180725097656,527.7000122070312,530.25,517.0499877929688,521.4000244140625,17061293
2020-01-24,512.0164794921875,533.8499755859375,537.4000244140625,527.0,529.25,17851868
2020-01-27,515.2774658203125,537.25,545.0,531.5,538.5,38149166
2020-01-28,506.59759521484375,528.2000122070312,540.5999755859375,524.4500122070312,538.0999755859375,24009224
2020-01-29,505.0630187988281,526.5999755859375,534.7999877929688,525.2999877929688,531.5499877929688,16400827
2020-01-30,510.43408203125,532.2000122070312,533.9500122070312,524.1500244140625,527.6500244140625,14319317
2020-01-31,504.1519470214844,525.6500244140625,532.75,522.4000244140625,530.0,16292578
2020-02-03,494.4649353027344,515.5499877929688,519.1500244140625,502.0,504.0,22531888
2020-02-04,509.0912170410156,530.7999877929688,534.6500244140625,516.6500244140625,520.0,17781475
2020-02-05,517.0517578125,539.0999755859375,540.4000244140625,525.7000122070312,529.0499877929688,18782476
2020-02-06,519.4495239257812,541.5999755859375,547.0,536.25,540.3499755859375,15296851
2020-02-07,514.5101928710938,536.4500122070312,541.75,535.1500244140625,540.9500122070312,8297149
2020-02-10,512.1124877929688,533.9500122070312,542.25,530.5,538.6500244140625,12536053
2020-02-11,517.6751708984375,539.75,544.7999877929688,537.5,537.7000122070312,11243552
2020-02-12,526.8345947265625,549.2999877929688,550.7000122070312,542.7000122070312,545.7999877929688,14026335
2020-02-13,518.8740844726562,541.0,549.0,538.0,549.0,9227235
2020-02-14,523.477783203125,545.7999877929688,548.6500244140625,536.5499877929688,541.25,14458649
2020-02-17,519.4495239257812,541.5999755859375,545.3499755859375,537.75,543.0,7793293
2020-02-18,519.0659790039062,541.2000122070312,544.4000244140625,536.0,541.0,15918303
2020-02-19,522.5186767578125,544.7999877929688,546.5,540.5,543.5,8704234
2020-02-20,524.6287231445312,547.0,549.3499755859375,541.7999877929688,545.5,13588526
2020-02-24,508.18011474609375,529.8499755859375,541.8499755859375,527.5499877929688,539.5,16940750
2020-02-25,509.2351379394531,530.9500122070312,538.7999877929688,525.2999877929688,532.4500122070312,14942960
2020-02-26,502.28167724609375,523.7000122070312,529.3499755859375,522.2000122070312,526.8499755859375,15743918
2020-02-27,494.27313232421875,515.3499755859375,523.2999877929688,512.6500244140625,522.7999877929688,26315054
2020-02-28,476.91339111328125,497.25,506.8500061035156,492.20001220703125,501.6000061035156,32737933
2020-03-02,485.4014587402344,506.1000061035156,520.5499877929688,498.45001220703125,508.25,28642076
2020-03-03,493.6976623535156,514.75,519.5,508.5,509.8500061035156,19661945
2020-03-04,487.5594177246094,508.3500061035156,517.5,497.04998779296875,517.5,21883404
2020-03-05,483.86688232421875,504.5,511.1499938964844,500.0,509.75,16671516
2020-03-06,466.45916748046875,486.3500061035156,496.79998779296875,477.29998779296875,485.0,31024353
2020-03-09,439.0289001464844,457.75,475.0,442.95001220703125,475.0,42027175
2020-03-11,446.6057434082031,465.6499938964844,471.75,449.6000061035156,450.0,31018779
2020-03-12,408.2417297363281,425.6499938964844,445.95001220703125,416.0,438.0,50757033
2020-03-13,428.91033935546875,447.20001220703125,464.75,395.20001220703125,401.0,67104335
2020-03-16,386.4221496582031,402.8999938964844,424.20001220703125,397.45001220703125,424.20001220703125,34833637
2020-03-17,352.2301330566406,367.25,408.45001220703125,364.0,407.0,47232699
2020-03-18,340.5291442871094,355.04998779296875,375.5,342.29998779296875,369.1000061035156,61202289
2020-03-19,324.70391845703125,338.54998779296875,369.6000061035156,323.0,336.1000061035156,57985870
2020-03-20,331.5615234375,345.70001220703125,359.79998779296875,323.0,328.0,88640642
2020-03-23,272.3849182128906,284.0,313.70001220703125,280.0,311.1499938964844,56867949
2020-03-24,284.3736877441406,296.5,305.0,268.29998779296875,295.29998779296875,67895418
2020-03-25,303.93939208984375,316.8999938964844,334.1499938964844,281.6000061035156,284.0,66544138
2020-03-26,316.743408203125,330.25,364.3999938964844,314.25,322.0,76173940
2020-03-27,325.9507751464844,339.8500061035156,359.54998779296875,326.0,355.79998779296875,72889985
2020-03-30,300.58251953125,313.3999938964844,333.8999938964844,311.1000061035156,330.1000061035156,36559880
2020-03-31,310.5092468261719,323.75,334.8500061035156,316.0,324.70001220703125,46279768
2020-04-01,298.424560546875,311.1499938964844,323.75,308.1000061035156,319.0,33141186
2020-04-03,274.926513671875,286.6499938964844,309.5,281.5,309.5,57326314
2020-04-07,312.7631530761719,326.1000061035156,329.6000061035156,296.8500061035156,308.29998779296875,57661076
2020-04-08,305.905517578125,318.95001220703125,352.75,315.1000061035156,322.8500061035156,73931321
2020-04-09,328.6842041015625,342.70001220703125,345.0,322.6499938964844,332.3999938964844,52431174
2020-04-13,317.1270446777344,330.6499938964844,345.79998779296875,329.25,341.04998779296875,30994190
2020-04-15,313.96197509765625,327.3500061035156,351.8999938964844,325.0,342.70001220703125,49132329
2020-04-16,328.0128173828125,342.0,347.79998779296875,319.3500061035156,325.29998779296875,56494027
2020-04-17,360.1906433105469,375.54998779296875,385.5,349.04998779296875,362.0,69006835
2020-04-20,346.52349853515625,361.29998779296875,378.8999938964844,357.0,376.0,55810736
2020-04-21,318.2779541015625,331.8500061035156,346.20001220703125,328.0,341.0,50118175
2020-04-22,322.2102355957031,335.95001220703125,338.0,323.04998779296875,326.0,49115085
2020-04-23,338.5150146484375,352.95001220703125,354.79998779296875,338.0,340.25,45953398
2020-04-24,321.1552734375,334.8500061035156,343.25,331.5,337.8999938964844,38513206
2020-04-27,333.6715087890625,347.8999938964844,352.8999938964844,338.0,339.29998779296875,38980019
2020-04-28,345.1327819824219,359.8500061035156,362.8500061035156,350.25,353.75,32933194
2020-04-29,355.2992858886719,370.45001220703125,376.5,351.6499938964844,353.0,39341745
2020-04-30,364.60260009765625,380.1499938964844,392.95001220703125,374.1499938964844,382.0,45734705
2020-05-04,324.224365234375,338.04998779296875,359.0,336.0,359.0,38837299
2020-05-05,317.31884765625,330.8500061035156,348.0,329.54998779296875,348.0,45069968
2020-05-06,327.4373474121094,341.3999938964844,345.54998779296875,325.25,331.5,49952812
2020-05-07,322.9775390625,336.75,342.8999938964844,333.70001220703125,337.0,27656346
2020-05-08,323.888671875,337.70001220703125,352.5,333.70001220703125,344.0,42968091
2020-05-11,307.0564880371094,320.1499938964844,343.54998779296875,318.20001220703125,341.0,83665601
2020-05-12,308.06353759765625,321.20001220703125,324.3999938964844,308.0,318.29998779296875,69072308
2020-05-13,324.224365234375,338.04998779296875,348.3999938964844,332.29998779296875,343.5,72816461
2020-05-14,314.00994873046875,327.3999938964844,334.5,325.6499938964844,330.0,33999095
2020-05-15,309.5021667480469,322.70001220703125,330.54998779296875,318.79998779296875,329.29998779296875,31828868
2020-05-18,286.2918701171875,298.5,320.5,293.25,320.0,74034133
2020-05-19,288.01824951171875,300.29998779296875,311.5,297.1000061035156,307.04998779296875,61827491
2020-05-20,293.1494445800781,305.6499938964844,308.25,297.5,299.0,42238419
2020-05-21,291.9505920410156,304.3999938964844,312.79998779296875,302.0,306.0,43075357
2020-05-22,279.1465759277344,291.04998779296875,307.70001220703125,285.54998779296875,301.0,80358245
2020-05-26,280.7291259765625,292.70001220703125,297.8999938964844,290.0,296.04998779296875,46681705
2020-05-27,305.80963134765625,318.8500061035156,321.95001220703125,294.8500061035156,296.1000061035156,80541990
2020-05-28,313.4824523925781,326.8500061035156,329.75,320.75,322.25,66136408
2020-05-29,318.37384033203125,331.95001220703125,334.29998779296875,320.0,322.8999938964844,60487477
2020-06-01,325.37530517578125,339.25,348.0,336.20001220703125,339.0,44024770
2020-06-02,334.15106201171875,348.3999938964844,350.0,332.5,337.0,47558213
2020-06-03,342.2554931640625,356.8500061035156,373.0,353.79998779296875,357.8999938964844,69689299
2020-06-04,333.62359619140625,347.8500061035156,363.0,345.5,357.0,57061575
2020-06-05,342.5911865234375,357.20001220703125,360.0,347.0,350.0,37251097
2020-06-08,345.0848388671875,359.79998779296875,373.75,353.1499938964844,366.54998779296875,46827341
2020-06-09,334.2949523925781,348.54998779296875,369.3500061035156,345.25,360.04998779296875,47621969
2020-06-10,338.5629577636719,353.0,356.8500061035156,345.29998779296875,348.54998779296875,36292403
2020-06-11,327.2934875488281,341.25,354.20001220703125,340.1000061035156,352.45001220703125,36999490
2020-06-12,330.1228942871094,344.20001220703125,346.1499938964844,324.1000061035156,324.20001220703125,47509067
2020-06-15,317.55859375,331.1000061035156,342.25,325.5,341.20001220703125,43500660
2020-06-16,328.9239807128906,342.95001220703125,347.8999938964844,326.04998779296875,342.25,57511237
2020-06-17,327.9648742675781,341.95001220703125,351.0,336.1000061035156,338.6000061035156,37107002
2020-06-18,337.6038513183594,352.0,354.70001220703125,337.20001220703125,340.0,39285919
2020-06-19,348.9212341308594,363.79998779296875,365.45001220703125,349.20001220703125,351.0,51367236
2020-06-22,352.5178527832031,367.54998779296875,375.25,365.1499938964844,367.0,40133602
2020-06-23,360.7661437988281,376.1499938964844,378.29998779296875,364.20001220703125,369.0,32493320
2020-06-24,333.86334228515625,348.1000061035156,380.0,345.0,380.0,57955780
2020-06-25,336.6447448730469,351.0,355.6000061035156,338.5,345.8999938964844,69902888
2020-06-26,334.8224182128906,349.1000061035156,358.5,346.1000061035156,355.6000061035156,34596104
2020-06-29,329.0678405761719,343.1000061035156,345.6000061035156,338.5,345.25,27384244
2020-06-30,337.0763854980469,351.45001220703125,354.45001220703125,346.29998779296875,347.0,47526095
2020-07-01,349.1610107421875,364.04998779296875,365.75,351.6000061035156,354.25,36922617
2020-07-02,348.0101318359375,362.8500061035156,370.8999938964844,361.3500061035156,366.0,50964311
